"Date","Time","Media Type","Site Name","Mention URL","Title","Mention Content","Sentiment","Country"
"2022-04-19","13:06:00 +0100 BST","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=10&t=1983157&i=20","Insurance cover when selling car","OutInTheShed said: paulguitar said: That's what I did in the past too. My current insurer won't do it. My current plan is to insure the car I am selling on a new policy, and cancel within two weeks, and then only pay a £26 fee within the cooling-off period. For this to work, the car has to sell within 14 days, of course. You may also pay a fee to change your old policy to the new car? Are you sure it's as cheap as £26 for, admin, cancellation and time on cover? Which company is that with? Esure. It's another £15 to update my current policy to my new car. If I go over the 14-day cooling-off period, it will be £60 to cancel the new policy on the car I am selling.","neutral","United Kingdom"
"2022-04-15","21:52:00 +0100 BST","Forum","The AnswerBank","https://www.theanswerbank.co.uk/Motoring/Question1792664-1.html","Breakdown Cover","I have got the RAC through my car insurance as well. It halved the cost for me so worth looking at.","negative","United Kingdom"
"2022-04-13","08:18:00 +0100 BST","Forum","TripAdvisor Forums","https://www.tripadvisor.com/ShowTopic-g189158-i203-k8845958-o110-Sixt_Car_Rental_in_Lisbon_Airport-Lisbon_Lisbon_District_Central_Portugal.html","Re: Sixt Car Rental in Lisbon Airport","That's good to hear, we have booked for them in May, I don't think I would go with them but husband was ok with it as it worked out in Paris a couple of years ago. We take out excess insurance with Insurance4carhire.com which has always worked in the past. Will report back any problems if we have any - we always check carefully.","negative","Not available"
"2022-04-11","20:06:00 +0100 BST","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=10&t=1982265","Is this normal? - Retrieving Excess","Alex_225 said: I've had a couple of posts on here following an accident my other half was involved in last year. Her Merc ML was rear ended by a transporter lorry and written off. Transpires that despite the claim being settled back in January, it took a phone call in March to find that out as they hadn't bothered to tell us. Fortunately it ruled in her favour as well it should have. Here's the thing, is it normal to have to contact the third party's insurance yourself to retrieve your £600 excess? I have never heard of this happening. They're saying that as she doesn't have the legal cover option, that she has to speak to them herself and retrieve it but, 'It's ok, they'll have all the details'. I may just be totally naive but I can't help thinking it's cr*ppy that they put the claim in for literally the amount they wanted to cover the claim, despite having paid the excess to her insurance! For additional info, the car was written off and the excess was paid directly to Esure. That seems odd to me. Why would your insurance company only claim for the losses they suffered?","neutral","United Kingdom"
"2022-04-11","15:26:00 +0100 BST","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=10&t=1982265","Is this normal? - Retrieving Excess","I've had a couple of posts on here following an accident my other half was involved in last year. Her Merc ML was rear ended by a transporter lorry and written off. Transpires that despite the claim being settled back in January, it took a phone call in March to find that out as they hadn't bothered to tell us. Fortunately it ruled in her favour as well it should have. Here's the thing, is it normal to have to contact the third party's insurance yourself to retrieve your £600 excess? I have never heard of this happening. They're saying that as she doesn't have the legal cover option, that she has to speak to them herself and retrieve it but, 'It's ok, they'll have all the details'. I may just be totally naive but I can't help thinking it's cr*ppy that they put the claim in for literally the amount they wanted to cover the claim, despite having paid the excess to her insurance! For additional info, the car was written off and the excess was paid directly to Esure.","neutral","United Kingdom"
"2022-04-08","09:55:00 +0100 BST","Forum","Mercedes-Benz Owners' Forums","https://forums.mercedesclub.org.uk/index.php?threads/recommend-motor-trader-insurance.193627/","recommend motor trader insurance","im up for renewal on the 14th of this month , any recommendations ?? currently with markerstudy and im less than impressed with the handling of a no fault claim and by that i mean my car is still damaged a month after it was run into so post em up guys","negative","United Kingdom"
"2022-04-04","19:50:00 +0100 BST","Forum","Money Saving Expert Forums","https://forums.moneysavingexpert.com/discussion/6348024/borrowing-a-family-car-in-the-usa","Borrowing a family car in the USA","I am going to borrow my sister’s car on our upcoming USA holiday- she lives in the USA. My UK insurance (Hastings Direct) cover me when driving a borrowed and already insured car for 3rd Party liability. Her US insurance will cover me for the legal minimum. Is there any cover available for me to purchase to help cover any excesses in this situation? (I’m taking our car hire CDW and excess cover for a later trip, but that’s a “usual” hire scenario and it specifically excludes peer to peer situations.)","neutral","United Kingdom"
"2022-04-03","15:15:00 +0100 BST","Forum","TripAdvisor Forums","https://www.tripadvisor.com/ShowTopic-g189458-i363-k13887122-Car_hire_in_Corfu_for_over_70_year_old-Corfu_Ionian_Islands.html","Re: Car hire in Corfu for over 70 year old","Hi! Just as a matter of interest, I checked out Holday Autos again. There was no difference between being 69 and 70. However, as you say, it went up by nearly £10 pd for age 71, so will have to think about that for next year. It was £114pw for a company with a 7.9 approval, I wouldn't hire from anyone scoring below 7. Also I use Insurance4CarHire to cover the excess, as I hire at least 3 times a year, it's really worth it, they always get a good write-up in the money pages, though I've never actually had to claim.","neutral","Not available"
"2022-04-03","12:13:00 +0100 BST","Forum","Baby BMW Forums","https://www.babybmw.net/forum/viewtopic.php?f=74&t=140684&start=15","Re: Insurance went mental again","1210 wrote: ↑Thu Mar 31, 2022 5:56 pm Just had my renewal through today from Keith Michaels (Highway Liverpool & Victoria are the underwriters), £950 down from £1000 last year. I spent half a day ringing around every company last week and didn't have much luck, Adrian Flux wanted £4000, Admiral wanted £1800 and none of the other mod friendly insurers would even offer me a quote as their underwriters won't cover east London postcodes. I also ran a quote for a stock car and the cheapest was £750 from Sheilas Wheels. I'm really starting to resent paying so much on insurance to drive a couple of thousand miles a year. Might just give up on life and buy a Honda Jazz. same situation as yours and Sheilas came out the cheapest although I have a quote for 5x the annual mileage compared to yours. Let's see how my premium gets adjusted if stupid lawyers are ever able to take the third party to court over an unresolved claim...","negative","United Kingdom"
"2022-03-31","18:56:00 +0100 BST","Forum","Baby BMW Forums","https://www.babybmw.net/forum/viewtopic.php?f=74&t=140684&start=15","Re: Insurance went mental again","Just had my renewal through today from Keith Michaels (Highway Liverpool & Victoria are the underwriters), £950 down from £1000 last year. I spent half a day ringing around every company last week and didn't have much luck, Adrian Flux wanted £4000, Admiral wanted £1800 and none of the other mod friendly insurers would even offer me a quote as their underwriters won't cover east London postcodes. I also ran a quote for a stock car and the cheapest was £750 from Sheilas Wheels. I'm really starting to resent paying so much on insurance to drive a couple of thousand miles a year. Might just give up on life and buy a Honda Jazz.","neutral","United Kingdom"
"2022-03-31","14:30:00 +0100 BST","Forum","The 75 and ZT Owners Club Forums","https://the75andztclub.co.uk/forum/showthread.php?s=aee7f7c6aefe99566e14684ec5a0be25&t=318482","The Crazy World of Car Insurance","Quote: Originally Posted by Rogue Just renewed mine but my existing company wanted a £50 increase so i had a hunt around and managed to get better cover with a much lower excess for £100 less. My existing insurer wasn't interested in lowering their quote so i have moved over to Hastings direct. Fully comp with a £40 excess for the grand total of £164 a year. Quite happy with that. Interesting. About 3 years ago I got a ridiculously high quote from Hastings Direct that they wouldn't budge on so I moved to First Alternative who have not increased the price of my cover by more than a couple of quid. However, when a Hastings Direct driver elected to overtake a group of cyclists and scrape the side of my daughters car which I was driving with just 3rd party insurance, Hastings Direct were excellent. They immediately accepted full responsibility and paid for everything, including a hire car for 2 weeks.","neutral","United Kingdom"
"2022-03-31","10:28:00 +0100 BST","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=1903995&i=20","Markerstudy - any good?","all of the above sound about right. especially the tornado app I used them for a track car that did very few road miles. very happy for a good price to cover my legal obligations and handle any problems myself. A bit like EasyJet. a much cheaper and even more punctual service than BA. Anything goes wrong I'll handle it myself and wouldn't even bother with their customer service.","negative","United Kingdom"
"2022-03-31","10:18:00 +0100 BST","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=1903995&i=20","Markerstudy - any good?","Never again from me too. Were happy to take the premium, but not so happy to try and fix problems after a claim. No courtesy cars available for 6 weeks, despite one being in my policy...but they pointed to the T&Cs which said that one would only be provided if there was one available. Eventually got the car back, but it went back a few more times due to poor quality repair work and incorrect/incomplete parts fitment (i.e. wrong size wheel with incorrectly-sized tyre; non-functional handbrake as they'd not connected it back up; damaged diff not replaced; misaligned gearbox not fixed, etc.). After finally getting these 'snags' fixed - which I was then told took it well over the write-off threshold (not my fault that they'd decided to ignore stuff so they'd get the work), come next service we found a few other little cut-corners like sticking the brake sensor socket behind difficult-to-access bolted-on bodywork instead of in the easy-to-access wheel arch. Even caught their valeter ragging the car around the industrial estate his car wash was on. Contacted them about each of these instances and was told to sort it out directly with the garage, and garage told me to do everything through the insurer.","negative","United Kingdom"
"2022-03-30","12:40:00 +0100 BST","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=1903995","Markerstudy - any good?","DO NOT DO IT !!! They are cheap for a reason, as I have learned to my cost. I have moved onto better and far more reputable companies. The dreadful example of them 'inadvertently' putting my car on the 'write off' insurance database register. I discovered this had been put on for 2yrs, when I came to sell my car and the buyer walked away, saying I had lied to him. Markerstudy simply apologised and removed the marker. A formal complaint has been made to the Financial Ombudsman - DON'T DO IT!!","negative","United Kingdom"
"2022-03-30","12:18:00 +0100 BST","Forum","The 75 and ZT Owners Club Forums","https://the75andztclub.co.uk/forum/showthread.php?s=cb3a35018e96ea4bef84779275963f5f&t=318482","The Crazy World of Car Insurance","Just renewed mine but my existing company wanted a £50 increase so i had a hunt around and managed to get better cover with a much lower excess for £100 less. My existing insurer wasn't interested in lowering their quote so i have moved over to Hastings direct. Fully comp with a £40 excess for the grand total of £164 a year. Quite happy with that.","neutral","United Kingdom"
"2022-03-29","05:52:00 +0100 BST","Forum","TripAdvisor Forums","https://www.tripadvisor.com/ShowTopic-g187477-i240-k13880063-Car_hire_credit_card-Lanzarote_Canary_Islands.html","Re: Car hire credit card","It's possible but highly unusual these days, you'll need someone with local knowledge. You may get one that will accept a debit card. At some point you'll need to modernise your school a bit! Car hire excesses can be quite high these days and you will need to cover them somehow - either with the hirer's own expensive cover or get a cheap cover elsewhere. If not you cover the risk yourself (long story). When you put up a credit card, it doesn't impinge on your own bank account and if someone puts a charge on - justified or not (most people don't understand excesses) - then you either either claim it back if unjustified or at worst it isn't coming out of your bank. Get another card, just use it for holiday purposes, it also improves your credit rating. Just read the first reply - yes, those companies you can use their own insurance. Another way is to take out insurance4carhire (an annual or one trip policy) Rule number 1 - never use Goldcar.","neutral","Not available"
"2022-03-28","20:04:00 +0100 BST","Forum","Forum Audi Sport","https://www.audi-sport.net/xf/threads/think-ive-just-wasted-my-savings-cvt-cold-gearbox-issue-when-going-up-hill.432953/","Think I've just wasted my savings :( CVT cold Gearbox issue when going up hill?","So I bought a car the other day after saving up about 7 years to be able to buy an Audi A6 2013 TDI 2.0 Sline on 85k, I have only just managed to get insured on it and give it a good run today and I noticed when going up a hill while the engine was around 70c it was slipping gear and skipping the wheels like the gearbox had an issue. Once the engine warmed up and went up another hill and it seemed fine. I'm guessing the gearbox is on its way out and just hoping it will last until I can sell it off as I have no money left to repair it. like I say the car drives fine once it's warm and drives beautifully actually. one other weird thing is that the EML doesn't come on, at all... either it's been mapped out or maybe it's not common? the guy I bought it off has now blocked me and I've later found out used a fake profile on Facebook..... feel like I've been scammed. I obviously can't take the car back and not sure if i can do anything legally about it. Any ideas on what I should do? I was thinking take AA insurance out for the gearbox and maybe taking it to a gearbox specialist to have a look? Has anyone had similar issues? Many thanks guys","neutral","United Kingdom"
"2022-03-26","06:35:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=1974298&i=2620","Best smoker barges 1-5 large [Vol 21]","W00DY said: loquacious said: https://www.autotrader.co.uk/car-details/202203223... I done a buy! Okay, it's over the limit but it's the first Xj that really is lovely! Not silver (bonus!) and the inside is like new. comes with a warranty, new MOT and service from a local dealer that is well respected, family-owned and has been going for years, though I've never bought a car from them. The first car I've ever bought without even bothering to drive first, looks so genuine (the previous owner traded it in for an XF - fool!) huge portfolio of paperwork and history and only 3 blobs of the dreaded alloy corrosion and all on the leading edge of the passenger side rear door, top, middle and bottom! Insured it for the 1st of April (£600 a year to tax so I'm not wasting even one day!) for £300 with zero no claims (all on my other car) and just had a great chat with a lovely lass at Hastings direct as the new system with banks screwed the system up and I had to ring them. Really looking forward to getting it... but the sun is shining and the SLK is open top, do I really want a closed car? Hell yes! Very elegant. Congratulations. Well played.","positive","United Kingdom"
