"Business Name","Business Group","Total New Cases","New Cases","Unnamed: 4","Unnamed: 5","Unnamed: 6","Unnamed: 7","Unnamed: 8"
"","","","Banking & Credit","Mortgages & Home Finance","General Insurance / Pure Protection","PPI","Investments","Decumulation Life & Pensions"
"AA Underwriting Insurance Company Limited","No Group","179.0","","","179","","",""
"Acasta European Insurance Company Limited","No Group","35.0","","","35","","",""
"Accredited Insurance (Europe) Ltd","No Group","53.0","","","53","","",""
"Acromas Insurance Company Limited","No Group","84.0","","","84","","",""
"Admiral Insurance (Gibraltar) Limited","ADMIRAL GROUP","192.0","","","192","","",""
"Admiral Insurance Company Limited","ADMIRAL GROUP","653.0","1","","652","","",""
"Advanced Payment Solutions Limited","No Group","87.0","87","","","","",""
"Advantage Finance Ltd","No Group","56.0","56","","","","",""
"Advantage Insurance Company Limited","No Group","310.0","","","310","","",""
"Ageas Insurance Limited","AGEAS","527.0","","","527","","",""
"ALD Automotive Limited","No Group","85.0","85","","","","",""
"Aldermore Bank Plc","No Group","31.0","12","16","","","3",""
"Allianz Insurance Plc","No Group","119.0","","","115","4","",""
"American Express Services Europe Limited","No Group","121.0","121","","","","",""
"American Express Services Europe Limited (AESEL)","No Group","211.0","210","","","1","",""
"American International Group UK Limited","No Group","247.0","","","247","","",""
"Amtrust Europe Limited","No Group","153.0","1","","152","","",""
"Arch Insurance (UK) Limited","No Group","31.0","","","31","","",""
"Arrow Global Limited","No Group","56.0","51","5","","","",""
"Arval UK Limited","No Group","31.0","29","","2","","",""
"Assurant General Insurance Limited","No Group","139.0","","","121","18","",""
"Astrenska Insurance Limited","No Group","32.0","","","32","","",""
"ATLANTA 1 INSURANCE SERVICES LIMITED","No Group","54.0","","","54","","",""
"Atlanta Insurance Intermediaries Limited","No Group","52.0","","","52","","",""
"Automobile Association Insurance Services Limited","No Group","125.0","","","125","","",""
"AvantCredit of UK, LLC","No Group","127.0","127","","","","",""
"Aviva Insurance Limited","AVIVA","1071.0","","","1040","31","",""
"Aviva Life & Pensions UK Limited","AVIVA","528.0","1","45","127","","59","296"
"AWP P&C SA","No Group","97.0","","","97","","",""
"AXA France IARD","No Group","48.0","","","3","45","",""
"AXA Insurance UK PLC","AXA","945.0","1","","943","","","1"
"AXA PPP Healthcare Limited","AXA","128.0","","","128","","",""
"Bamboo Limited","No Group","71.0","71","","","","",""
"Bank of Ireland (UK) plc","BANK OF IRELAND","114.0","79","34","","","","1"
"Bank of Scotland Plc","LLOYDS","2529.0","1914","434","45","73","49","14"
"Barclays Bank Plc","BARCLAYS (GS)","32.0","32","","","","",""
"Barclays Bank UK PLC","BARCLAYS (GS)","4387.0","3717","439","54","59","112","6"
"BISL Limited","No Group","71.0","","","71","","",""
"Black Horse Limited","LLOYDS","479.0","468","2","1","8","",""
"Blue Motor Finance Ltd","No Group","167.0","166","","1","","",""
"BMW Financial Services(GB) Limited","No Group","392.0","389","","3","","",""
"British Gas Insurance Limited","No Group","326.0","1","","325","","",""
"British Gas Services Limited","No Group","176.0","3","","173","","",""
"Building Block Insurance PCC Ltd","No Group","34.0","","","34","","",""
"BUPA Insurance Limited","BUPA","143.0","","","143","","",""
"Cabot Credit Management Group Limited","No Group","61.0","59","2","","","",""
"Calpe Insurance Company Limited","No Group","53.0","","","53","","",""
"Capital One (Europe) plc","No Group","535.0","527","","","8","",""
"Casualty & General Insurance Company (Europe) Ltd","No Group","105.0","","","105","","",""
"CB Payments Ltd","No Group","90.0","83","","","","7",""
"Chubb European Group SE","No Group","43.0","","","43","","",""
"Close Brothers Limited","No Group","197.0","193","","3","","1",""
"Clydesdale Bank Plc","No Group","839.0","741","76","2","6","13","1"
"Clydesdale Financial Services Limited","BARCLAYS (GS)","685.0","685","","","","",""
"Computershare Investor Services Plc","No Group","71.0","3","","","","68",""
"Covea Insurance plc","No Group","246.0","","","246","","",""
"Creation Consumer Finance Ltd","No Group","386.0","383","","3","","",""
"Creation Financial Services Limited","No Group","258.0","258","","","","",""
"DAS Legal Expenses Insurance Company Limited","No Group","127.0","","","127","","",""
"Domestic & General Insurance Plc","No Group","383.0","3","","380","","",""
"Elderbridge Limited","No Group","62.0","21","41","","","",""
"EQUIFAX LIMITED","No Group","101.0","101","","","","",""
"Equiniti Financial Services Limited","No Group","38.0","1","","","","36","1"
"esure Insurance Limited","No Group","312.0","","","312","","",""
"EUI Limited","ADMIRAL GROUP","151.0","2","","149","","",""
"Evergreen Finance London Limited","No Group","76.0","76","","","","",""
"Everyday Lending Limited","No Group","346.0","346","","","","",""
"Everyday Loans Limited","No Group","30.0","30","","","","",""
"Experian Limited","No Group","88.0","88","","","","",""
"Fairmead Insurance Limited","LVGIG","192.0","","","191","","","1"
"FCA Automotive Services UK Ltd","No Group","52.0","50","","","2","",""
"FCE Bank Plc","No Group","58.0","58","","","","",""
"Financial Administration Services Limited","No Group","72.0","2","","","","59","11"
"Firstplus Financial Group Plc","BARCLAYS (GS)","54.0","2","51","","1","",""
"Fortegra Europe Insurance Company Ltd","No Group","42.0","","","42","","",""
"Gain Credit LLC","No Group","301.0","301","","","","",""
"Great Lakes Insurance SE","No Group","222.0","","","222","","",""
"Gresham Insurance Company Limited","AVIVA","31.0","","","31","","",""
"Halifax Share Dealing Limited","LLOYDS","60.0","","","","","59","1"
"Hargreaves Lansdown Asset Management Limited","No Group","93.0","3","","","","64","26"
"Hastings Insurance Services Limited","No Group","247.0","","","247","","",""
"Haven Insurance Company Limited","No Group","132.0","","","132","","",""
"HDI Global Specialty SE","No Group","94.0","","","94","","",""
"Highway Insurance Company Limited","LVGIG","42.0","","","42","","",""
"Hiscox Insurance Company Limited","No Group","63.0","","","63","","",""
"Hoist Finance UK Limited","No Group","59.0","58","1","","","",""
"Home Retail Group Card Services Limited","No Group","111.0","111","","","","",""
"Homeserve Membership Limited","No Group","62.0","","","62","","",""
"HSBC UK Bank Plc","HSBC (GS)","3422.0","3092","155","38","88","41","8"
"I go 4 Ltd.","No Group","38.0","","","38","","",""
"Ikano Bank AB (publ)","No Group","141.0","140","","","1","",""
"Indigo Michael Limited","No Group","692.0","692","","","","",""
"Inter Partner Assistance SA","No Group","187.0","","","187","","",""
"Interactive Investor Services Limited","No Group","109.0","","","","","92","17"
"J D Williams & Company Limited","No Group","341.0","338","","","3","",""
"JAJA FINANCE LTD","No Group","35.0","35","","","","",""
"John Lewis Financial Services Limited","HSBC (GS)","117.0","117","","","","",""
"Kensington Mortgage Company Limited","No Group","61.0","","61","","","",""
"Klarna Bank AB (publ)","No Group","72.0","72","","","","",""
"Landmark Mortgages Limited","No Group","69.0","1","68","","","",""
"Lantern Debt Recovery Services Ltd","No Group","50.0","50","","","","",""
"Leaseplan UK Limited","No Group","33.0","33","","","","",""
