"Business Name","Business Group","Total % Change","Total* ","Closed Cases - % of cases upheld (percentage shown for 30 or more closures per product group)","Unnamed: 5","Unnamed: 6","Unnamed: 7","Unnamed: 8","Unnamed: 9","Unnamed: 10"
"","","","","Banking & Credit","Mortgages & Home Finance","General Insurance / Pure Protection","PPI","","Investments","Decumulation Life & Pensions"
"","","Average % of cases upheld = 37%","Proactively resolved cases = 4,242*","Average % of cases upheld  = 37%","Average % of cases upheld  = 27%","Average % of cases upheld  = 28%","Average % of cases upheld  = 24%","Plevin total = 0","Average % of cases upheld  = 29%","Average % of cases upheld  = 26%"
"AA Underwriting Insurance Company Limited","No Group","0.38461538461538464","","","","0.38461538461538464","","","",""
"Acasta European Insurance Company Limited","No Group","0.18","","","","0.18","","","",""
"Accredited Insurance (Europe) Ltd","No Group","0.3787878787878788","","","","0.3787878787878788","","","",""
"Acromas Insurance Company Limited","No Group","0.24742268041237114","","","","0.24742268041237114","","","",""
"Admiral Insurance (Gibraltar) Limited","ADMIRAL GROUP","0.3","","","","0.3","","","",""
"Admiral Insurance Company Limited","ADMIRAL GROUP","0.2948207171314741","6","","","0.2948207171314741","","","",""
"Advanced Payment Solutions Limited","No Group","0.35537190082644626","","0.35537190082644626","","","","","",""
"Advantage Finance Ltd","No Group","0.28888888888888886","","0.28888888888888886","","","","","",""
"Advantage Insurance Company Limited","No Group","0.24632352941176472","","","","0.24632352941176472","","","",""
"Ageas Insurance Limited","AGEAS","0.2988871224165342","2","","","0.2988871224165342","","","",""
"ALD Automotive Limited","No Group","0.3111111111111111","","0.3111111111111111","","","","","",""
"Aldermore Bank Plc","No Group","0.05714285714285714","","","","","","","",""
"Allianz Insurance Plc","No Group","0.2","1","","","0.2","","","",""
"American Express Services Europe Limited","No Group","0.27419354838709675","8","0.288135593220339","","","","","",""
"American Express Services Europe Limited (AESEL)","No Group","0.34375","9","0.34375","","","","","",""
"American International Group UK Limited","No Group","0.3559322033898305","7","","","0.3559322033898305","","","",""
"Amtrust Europe Limited","No Group","0.3902439024390244","","","","0.3902439024390244","","","",""
"Arch Insurance (UK) Limited","No Group","0.1509433962264151","","","","0.1509433962264151","","","",""
"Arrow Global Limited","No Group","0.42105263157894735","","0.36538461538461536","","","","","",""
"Arval UK Limited","No Group","0.4318181818181818","","0.4318181818181818","","","","","",""
"Assurant General Insurance Limited","No Group","0.16055045871559634","","","","0.3977272727272727","","","",""
"Astrenska Insurance Limited","No Group","0.27586206896551724","","","","0.27586206896551724","","","",""
"ATLANTA 1 INSURANCE SERVICES LIMITED","No Group","0.22033898305084745","","","","0.22033898305084745","","","",""
"Atlanta Insurance Intermediaries Limited","No Group","0.25806451612903225","1","","","0.25806451612903225","","","",""
"Automobile Association Insurance Services Limited","No Group","0.15789473684210525","","","","0.15789473684210525","","","",""
"AvantCredit of UK, LLC","No Group","0.5946969696969697","","0.5946969696969697","","","","","",""
"Aviva Insurance Limited","AVIVA","0.2727272727272727","4","","","0.2605769230769231","0.6216216216216216","","",""
"Aviva Life & Pensions UK Limited","AVIVA","0.20384615384615384","2","","","0.11851851851851852","","","0.25","0.24285714285714285"
"AWP P&C SA","No Group","0.4722222222222222","","","","0.4722222222222222","","","",""
"AXA France IARD","No Group","0.2760416666666667","","","","","0.27225130890052357","","",""
"AXA Insurance UK PLC","AXA","0.3810916179337232","28","","","0.380859375","","","",""
"AXA PPP Healthcare Limited","AXA","0.08225108225108226","","","","0.08225108225108226","","","",""
"Bamboo Limited","No Group","0.6448598130841121","15","0.6448598130841121","","","","","",""
"Bank of Ireland (UK) plc","BANK OF IRELAND","0.19696969696969696","3","0.24719101123595505","0.1","","","","",""
"Bank of Scotland Plc","LLOYDS","0.25","238","0.2816834050693448","0.20315581854043394","","0.18421052631578946","","0.09302325581395349",""
"Barclays Bank Plc","BARCLAYS (GS)","0.17","2","0.17","","","","","",""
"Barclays Bank UK PLC","BARCLAYS (GS)","0.35261764106742716","327","0.35140512310370553","0.3784246575342466","0.20754716981132076","0.4326923076923077","","0.25735294117647056",""
"BISL Limited","No Group","0.19402985074626866","2","","","0.19696969696969696","","","",""
