"Date","Time","Site Name","Mention URL","Title","Mention Content","Star Rating"
"2022-04-18","07:56:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/625d0bb8c7628b203baf4fd0","Ageas : Easy to do","Easy to do. Everything you need to insurance your car","100"
"2022-04-15","09:58:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/625933b82b3c3c43cfd370f7","Ageas : Car insurance","I’m very happy with the price of my car insurance with ages ,as most of the sites I was looking at was coming to £50 plus so getting my price down to under half is great","100"
"2022-04-14","19:10:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/625863952b3c3c43cfd30468","Ageas : Looked on Compare the market...Ageas…","Looked on Compare the market...Ageas was one of the cheaper car insurance offering the same..if not better cover then the more expensive insurance...","100"
"2022-04-14","13:59:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/62581acbc7628b203bac8380","NFU Mutual : Service by NFU was fine","Service by NFU was fine, getting the car fixed by the appointed garage was very slow. Parts not available in the country.","60"
"2022-04-13","17:58:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/625701352b3c3c43cfd1e0dd","NFU Mutual : Typical NFU","Typical NFU, very helpful and friendly in the processing of my claim for damage I inflicted on my car.","100"
"2022-04-12","17:20:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6255a6dfc7628b203baa82c3","NFU Mutual : I recently had to claim for a new glass…","I recently had to claim for a new glass sunroof as my was completely shattered by a ridge tile that fell through it in storm Eunice. I was dealt with promptly from my first call. I was kept informed as to what was happening with my vehicle, I was offered watertight storage whilst waiting for the garage to collect my car, my kids seats were damaged and I had to buy new ones the money was paid to me within a couple of days of sending receipt. I spoke to quite a few people whilst waiting to get my car to a suitable garage, everyone was friendly and knowledgeable, I would certainly recommend NFU to anyone.","100"
"2022-04-11","19:38:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6254758ac7628b203ba98d2b","LV= : After an offer from SAGA which was £132…","After an offer from SAGA which was £132 higher than what they charged me last year, I turned to WHICH and got the LV recommendation. It so happened that LV was the underwriter for my SAGA insurance. I entered all my details online and received an offer of £253 inc.extra legal and hire car and NCD protection. I accepted. OK - I'm a new customer with LV so i hope that it wasn't an artificially tempting quote because I accepted and I'll be back next year, if it stay competitive.","100"
"2022-04-10","21:30:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/62533e6ac7628b203ba89c2d","Ageas : DO NOT USE AGEAS Car Insurance !!","DO NOT USE AGEAS Car Insurance !! Happy to take your money but when you need to make a claim there motor claims department are rubbish at best and not interested in investigating your claim . It make you wonder why you take out car insurance when this company practices as it does. My advice would be go elsewhere for car insurance","20"
"2022-04-10","11:15:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6252ae5a2b3c3c43cfce59ca","Ageas : Well first of all what a great service","Well first of all what a great service, the quote was better than any other quotes l was given My advice to people who are considering car insurance give ageas a go They saved us quite a bit compared with our insurance company Thank you to ageas yesterday for insuring our car and saving us a lot of money","100"
"2022-04-09","20:20:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6251dc902b3c3c43cfce04ab","GoCompare : Car insurance","I went checking for my car insurance on GoCompare they were very helpful with number of quotes there after I found RAC suitable for me and I have the insurance ongoing from RAC I'm happy that I will receive the £250 towards my Insurance claims.","80"
"2022-04-09","16:15:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6251a3172b3c3c43cfcdd59b","GoCompare : I found the GoCompare website great","I found the GoCompare website great. Filled in all the information needed and was happy with my quote so proceeded to take up the best offer which was from Swinton van insurance. A pity I had to finish the transaction by phone.","80"
"2022-04-09","10:18:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/62514f82c7628b203ba75fa3","John Lewis Finance : Useless","Useless, refused to adjust the start date of my policy after I purchased the car earlier than originally thought, when asked I was just told ‘ NO, sorry, can’t help’ So, I had to cancel the whole policy, unfortunately for John Lewis insurance when I went back through the process they didn’t come up as the cheapest option so I took my business and money elsewhere! I would recommend the AA insurance!","20"
"2022-04-08","15:17:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/625043f62b3c3c43cfcce18c","Ageas : Car insurance","All good no problems","100"
"2022-04-08","14:29:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/625038a4c7628b203ba6a70d","Ageas : My car insurance went up by £400 a year…","My car insurance went up by £400 a year with no reason for this, i am disappointed to say the least, i had 3 points on my licence last year which came off last year and Ageas still put my car insurance up by £400, its a joke","20"
"2022-04-08","12:10:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/625018242b3c3c43cfccacd5","The AA Breakdown Cover : Untrustworthy","Untrustworthy , they have taken my subscriptions for 4 years. I just have returned from Ukraine and have broken down in Europe. Their European “partner” has refused to recover the vehicle. We took out the extra European cover before leaving. To be fair we got the extra cover for free in the UK as we were travelling to Lviv with aid. Their “ partners” in Europe don’t seem interested and have argued the van weight was too high ( then why grant the policy in the first place). Typical insurance side swerve. Not impressed At all","20"
"2022-04-08","08:59:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624feb4fc7628b203ba649f0","Ageas : A bit devious and dishonest in my view","Went on to a comparison site to get a quote. I chose their second cheapest quote because it had extra cover. State that the car would be likely to be bought the following day. But when I definitely decided to buy the car the next day and and went back to the quote to actually buy the policy they put it up by £20. Thought this was a bit rubbish since the original quote was for a policy that was likely to start on the day I purchased the car. I thought this was a devious and dishonest practise. I had to go through with buying the policy at the higher price because I'd bought and paid for the car and couldn't drive it away without insurance.","60"
"2022-04-08","07:58:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624fdd03c7628b203ba63d23","Ageas : Very easy to set up my car insurance","Very easy to set up my car insurance, easy to use website and fantastic prices the cheapest I’ve found. Would recommend","100"
"2022-04-07","20:35:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624f3cf7c7628b203ba5f656","NFU Mutual : NFU overpriced policy","Although the staff at NFU are as usual extremely friendly and helpful the underwriter decided to try to charge me an unbelievable amount for a new car policy with no explanation. I have held insurance with NFU for over 30 years with no claim for over 10 years on anything. I got a policy at another company for a fraction of the quote from NFU. So why would NFU do this and not justify it. If they don’t want to insure the car just refuse it clearly not just overprice a policy.","20"
"2022-04-07","17:30:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624f1197c7628b203ba5c338","GoCompare : I had trouble on the Ageas website…","I had trouble on the Ageas website paying for my car insurance but after I called GoCompare I was reassured that my Excess Cover would still be applied if I paid over the phone quoting my references number. Thanks for the reassurance","100"
"2022-04-07","11:05:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624eb76cc7628b203ba54c3d","GoCompare : Easy to use and car insurance 1/3 what…","Easy to use and car insurance 1/3 what I was quoted by Covea. Very pleased","100"
"2022-04-06","11:19:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624d692bc7628b203ba42408","NFU Mutual : Another success for NFU","I had damage to my car due to flying debris during storm Arwen and when I contacted NFU to register my claim they were excellent. I was kept informed of when the repairs would be done, a courtesy car was provided and the repairs were superb. I cannot praise NFU enough","100"
